ESV Name,Name,KMZ Name,MSG Name,NLT Name,NIV Name,Lat,Lon,Passages,Comment
Tishbe,Hazor 1,from http://www.britam.org/naphtali.html,TBC,TBC,1 Kgs 17:1,0.0,0.0,N/A,http://www.britam.org/naphtali.html
Tob,TBC,TBC,"Judg 11:3, Judg 11:5, 2 Sam 10:6, 2 Sam 10:8",TBC,TBC,32.561735,36.240494,N/A,N/A
Tochen,Ashan,TBC,TBC,TBC,1 Chr 4:32,0.0,0.0,N/A,N/A
Tolad,Eltolad,TBC,TBC,TBC,1 Chr 4:29,0.0,0.0,N/A,N/A
Tophel,TBC,TBC,Deut 1:1,TBC,TBC,30.936991,35.61687,N/A,N/A
Topheth,Valley of Hinnom,TBC,TBC,TBC,"2 Kgs 23:10, Jer 7:31, Jer 7:32, Jer 19:6, Jer 19:11, Jer 19:12, Jer 19:13, Jer 19:14",0.0,0.0,N/A,N/A
Tower of Hananel,<Jerusalem,TBC,TBC,TBC,"Neh 3:1, Neh 12:39, Jer 31:38, Zech 14:10",0.0,0.0,N/A,N/A
Tower of Shechem,<Shechem,TBC,TBC,TBC,"Judg 9:46, Judg 9:47, Judg 9:49",0.0,0.0,N/A,N/A
Tower of the Hundred,<Jerusalem,TBC,TBC,TBC,"Neh 3:1, Neh 12:39",0.0,0.0,N/A,N/A
Tower of the Ovens,<Jerusalem,TBC,TBC,TBC,"Neh 3:11, Neh 12:38",0.0,0.0,N/A,N/A
Trachonitis,region,TBC,Luke 3:1,TBC,TBC,32.833333,36.5,N/A,N/A
Troas,Troas,TBC,TBC,TBC,"Acts 16:8, Acts 16:11, Acts 20:5, Acts 20:6, 2 Cor 2:12, 2 Tim 4:13",0.0,0.0,N/A,N/A
Tubal,Pontus,region,TBC,TBC,"Isa 66:19, Ezek 27:13, Ezek 38:2, Ezek 38:3, Ezek 39:1",0.0,0.0,N/A,N/A
Tyre,Tyre,TBC,TBC,TBC,"Josh 19:29, 2 Sam 5:11, 2 Sam 24:7, 1 Kgs 5:1, 1 Kgs 7:13, 1 Kgs 7:14, 1 Kgs 9:11, 1 Kgs 9:12, 1 Chr 14:1, 2 Chr 2:3, 2 Chr 2:11, 2 Chr 2:14, Ps 45:12, Ps 83:7, Ps 87:4, Isa 23:1, Isa 23:5, Isa 23:8, Isa 23:15, Isa 23:17, Jer 25:22, Jer 27:3, Jer 47:4, Ezek 26:2, Ezek 26:3, Ezek 26:4, Ezek 26:7, Ezek 26:15, Ezek 27:2, Ezek 27:3, Ezek 27:8, Ezek 27:32, Ezek 28:2, Ezek 28:12, Ezek 29:18, Joel 3:4, Amos 1:9, Amos 1:10, Zech 9:2, Zech 9:3, Matt 11:21, Matt 11:22, Matt 15:21, Mark 3:8, Mark 7:24, Mark 7:31, Luke 6:17, Luke 10:13, Luke 10:14, Acts 12:20, Acts 21:3, Acts 21:7",0.0,0.0,N/A,N/A
Ulai,TBC,TBC,"Dan 8:2, Dan 8:16",TBC,TBC,32.178696,48.22489,N/A,http://en.wikipedia.org/wiki/Ulai
Ummah,TBC,TBC,Josh 19:30,TBC,TBC,33.104377,35.180623,N/A,N/A
Uphaz,Ophir,TBC,TBC,TBC,"Jer 10:9, Dan 10:5",0.0,0.0,N/A,N/A
Upper Beth-horon,Beth-Horon Upper,TBC,TBC,TBC,"Josh 16:5, 1 Chr 7:24, 2 Chr 8:5",0.0,0.0,N/A,N/A
Ur,Ur,Ur,Ur,TBC,"Gen 11:28, Gen 11:31, Gen 15:7, Neh 9:7",0.0,0.0,N/A,N/A
Uz,TBC,TBC,"Job 1:1, Jer 25:20, Lam 4:21",TBC,TBC,30.0334,36.44839,N/A,N/A
Uzal,now Sanaa,TBC,Ezek 27:19,TBC,TBC,15.354879,44.215092,N/A,N/A
Uzza,<Jerusalem,TBC,TBC,TBC,"2 Kgs 21:18, 2 Kgs 21:26",0.0,0.0,N/A,N/A
Uzzen-sheerah,TBC,TBC,1 Chr 7:24,TBC,TBC,31.887821,35.045649,N/A,N/A
Vale of Succoth,Succoth 1,TBC,TBC,TBC,Ps 60:6,0.0,0.0,N/A,N/A
Valley Gate,<Jerusalem,TBC,TBC,TBC,"2 Chr 26:9, Neh 2:13, Neh 2:15, Neh 3:13",0.0,0.0,N/A,N/A
Valley of Achor,TBC,TBC,"Josh 7:24, Josh 7:26, Josh 15:7, Isa 65:10, Hos 2:15",TBC,TBC,31.83689,35.399737,N/A,N/A
Valley of Aijalon,Aijalon,TBC,TBC,TBC,Josh 10:12,0.0,0.0,N/A,N/A
Valley of Aven,TBC,TBC,Amos 1:5,TBC,TBC,34.006944,36.203889,N/A,N/A
Valley of Baca,Valley of Hinnom,TBC,TBC,TBC,Ps 84:6,0.0,0.0,N/A,N/A
Valley of Beracah,TBC,TBC,2 Chr 20:26,TBC,TBC,31.61065,35.165648,N/A,N/A
Valley of Elah,TBC,TBC,"1 Sam 17:2, 1 Sam 17:19, 1 Sam 21:9",TBC,TBC,31.690629,34.963136,N/A,N/A
Valley of Eshcol,Mamre,TBC,TBC,TBC,"Num 13:23, Num 13:24, Num 32:9, Deut 1:24",0.0,0.0,N/A,N/A
Valley of Gerar,Gerar,TBC,TBC,TBC,Gen 26:17,0.0,0.0,N/A,N/A
Valley of Gibeon,Gibeon,TBC,TBC,TBC,Isa 28:21,0.0,0.0,N/A,N/A
Valley of Hamon-gog,Dibon 1,TBC,TBC,TBC,"Ezek 39:11, Ezek 39:15",0.0,0.0,N/A,N/A
Valley of Hebron,Valley of Eshcol,TBC,TBC,TBC,Gen 37:14,0.0,0.0,N/A,N/A
Valley of Hinnom,TBC,TBC,"Josh 15:8, Josh 18:16, Neh 11:30",TBC,TBC,31.769079,35.227994,N/A,N/A
Valley of Iphtahel,TBC,TBC,"Josh 19:14, Josh 19:27",TBC,TBC,32.832774,35.277225,N/A,N/A
